Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1029.268,468328,44.55,8204,1066.64
astar,true,2618.814,1013150,96.38,8204,478.04
bfs,true,1123.738,1026362,97.63,8204,796.31
dfs,true,536.346,537031,51.09,8204,837.86
wallFollower,true,852.580,1035966,98.55,8204,1104.82
dijkstra,false,1359.142,508315,47.23,12293,1149.04
astar,false,3809.218,1044713,97.07,6812,779.43
bfs,false,1413.047,1054752,98.01,6812,1508.33
dfs,false,759.347,625286,58.10,22047,938.80
wallFollower,false,1102.066,1132748,105.25,80876,1247.30
