Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,699.126,406608,52.05,7441,277.72
astar,true,1335.675,775113,99.21,7441,256.99
bfs,true,468.639,772390,98.87,7441,405.69
dfs,true,211.412,462310,59.18,7441,256.47
wallFollower,true,253.782,645244,82.59,7441,310.13
dijkstra,false,768.803,409247,51.17,9240,405.18
astar,false,1793.789,787389,98.45,5519,279.57
bfs,false,513.109,783454,97.96,5519,406.45
dfs,false,164.124,269838,33.74,12462,151.39
wallFollower,false,361.116,813585,101.73,62429,389.66
