Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,2156.215,1269940,45.99,14357,1221.30
astar,true,5096.779,2727780,98.79,14357,629.92
bfs,true,1662.126,2717306,98.41,14357,902.52
dfs,true,765.790,1503854,54.46,14357,749.59
wallFollower,true,987.009,2528438,91.57,14357,1166.51
dijkstra,false,3091.181,1596175,56.46,19571,1258.51
astar,false,6309.112,2787959,98.62,11764,789.09
bfs,false,1735.108,2778418,98.29,11764,1215.17
dfs,false,646.671,1271756,44.99,36026,971.93
wallFollower,false,1161.548,2746758,97.17,209882,1582.60
