Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,301.760,194815,48.10,4843,146.21
astar,true,647.602,397611,98.18,4843,102.85
bfs,true,269.121,394052,97.30,4843,174.37
dfs,true,115.165,208496,51.48,4843,98.27
wallFollower,true,165.022,397668,98.19,4843,150.54
dijkstra,false,420.415,241190,58.17,6655,209.00
astar,false,995.856,408234,98.46,3925,179.30
bfs,false,306.575,405822,97.87,3925,244.24
dfs,false,110.369,180435,43.52,8141,138.44
wallFollower,false,171.195,394323,95.10,33451,195.89
