Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,2130.236,1474490,38.99,16479,1462.11
astar,true,6617.605,3727247,98.57,16479,1199.17
bfs,true,2248.743,3709026,98.09,16479,998.25
dfs,true,1081.349,2054209,54.33,16479,1249.26
wallFollower,true,1379.517,3470018,91.77,16479,1479.60
dijkstra,false,4398.662,2779512,71.80,25654,1758.24
astar,false,8296.428,3820475,98.69,13968,1453.36
bfs,false,2428.436,3811574,98.46,13968,1601.96
dfs,false,893.924,1603640,41.43,39188,939.17
wallFollower,false,1957.140,4808218,124.21,293654,1965.16
