Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1564.205,836699,46.35,10879,669.11
astar,true,3439.585,1772733,98.21,10879,532.23
bfs,true,1177.136,1763126,97.68,10879,729.23
dfs,true,482.433,863187,47.82,10879,429.65
wallFollower,true,785.869,1892379,104.84,10879,560.53
dijkstra,false,2454.856,1247944,67.53,16999,655.62
astar,false,4523.491,1832849,99.19,9392,621.86
bfs,false,1201.007,1828112,98.93,9392,678.24
dfs,false,395.399,681507,36.88,25574,447.76
wallFollower,false,623.511,1472238,79.67,139137,813.18
