Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1971.651,602316,57.30,8470,777.62
astar,true,3475.699,1021208,97.14,8470,789.51
bfs,true,1804.678,1029537,97.93,8470,840.38
dfs,true,959.980,576193,54.81,8470,514.81
wallFollower,true,1220.491,958566,91.18,8470,582.45
dijkstra,false,2086.792,582301,54.11,11483,688.04
astar,false,4211.917,1052620,97.81,7057,682.48
bfs,false,1949.622,1059665,98.46,7057,889.57
dfs,false,902.954,598890,55.65,15427,620.22
wallFollower,false,1365.525,1033999,96.08,84713,734.46
