Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1524.357,685332,47.43,9833,1395.59
astar,true,2975.692,1401355,96.98,9833,1047.36
bfs,true,1617.110,1414800,97.91,9833,1423.96
dfs,true,798.706,733081,50.73,9833,1045.44
wallFollower,true,1270.932,1433509,99.20,9833,1415.40
dijkstra,false,2425.235,916190,61.93,13304,1495.03
astar,false,4628.894,1445216,97.69,7737,1111.99
bfs,false,1860.029,1453164,98.23,7737,1569.89
dfs,false,1000.054,817787,55.28,14801,1198.15
wallFollower,false,1719.058,1700128,114.92,114741,1511.74
