Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,3063.616,2000221,56.97,16221,1998.04
astar,true,5668.316,3413446,97.21,16221,1622.47
bfs,true,2814.035,3443309,98.07,16221,2338.27
dfs,true,1201.067,1507299,42.93,16221,1656.49
wallFollower,true,2333.604,4023956,114.60,16221,2547.26
dijkstra,false,5427.502,2447154,68.08,24501,2025.49
astar,false,10690.136,3551702,98.81,13845,2741.60
bfs,false,3484.624,3561234,99.07,13845,2616.98
dfs,false,1669.045,2032294,56.54,33208,1612.36
wallFollower,false,2276.255,3519393,97.91,255671,1984.46
