Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1546.001,1044960,49.73,11678,1420.41
astar,true,3200.998,2029378,96.58,11678,998.34
bfs,true,1649.861,2052350,97.67,11678,1208.00
dfs,true,796.090,1130839,53.82,11678,940.39
wallFollower,true,1141.099,1950938,92.85,11678,1194.25
dijkstra,false,2450.945,1150238,53.47,19310,1410.28
astar,false,5738.295,2122482,98.67,10556,1183.91
bfs,false,2073.489,2129679,99.00,10556,1279.47
dfs,false,494.505,635450,29.54,23673,822.17
wallFollower,false,1321.262,2044908,95.06,160288,1146.78
