Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,6778.679,4576118,74.71,21831,2885.96
astar,true,10006.430,5968691,97.45,21831,2318.60
bfs,true,4782.270,6010665,98.13,21831,3929.85
dfs,true,2774.929,3787535,61.84,21831,3057.46
wallFollower,true,2766.064,4694257,76.64,21831,3178.10
dijkstra,false,8389.597,3808916,60.74,30081,4124.16
astar,false,19036.839,6160975,98.25,18230,3028.64
bfs,false,5953.443,6182814,98.60,18230,3228.28
dfs,false,3295.195,4340512,69.22,49691,3866.47
wallFollower,false,4411.924,6981964,111.34,474868,4030.23
