Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,393.297,136645,55.77,3881,154.91
astar,true,821.620,238651,97.41,3881,212.17
bfs,true,447.249,241210,98.45,3881,115.90
dfs,true,239.103,144186,58.85,3881,164.83
wallFollower,true,260.486,205367,83.82,3881,163.88
dijkstra,false,401.731,125520,50.04,4529,154.87
astar,false,941.591,243849,97.21,2974,154.45
bfs,false,472.454,246288,98.19,2974,151.68
dfs,false,171.523,97563,38.90,5669,131.87
wallFollower,false,346.368,262797,104.76,20163,171.82
