Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1197.485,383103,53.21,6915,498.29
astar,true,2316.726,698315,96.99,6915,506.79
bfs,true,1280.542,704866,97.90,6915,643.16
dfs,true,535.413,297695,41.35,6915,398.38
wallFollower,true,1158.883,851072,118.20,6915,465.14
dijkstra,false,1151.446,374900,50.86,8738,535.60
astar,false,2637.031,719198,97.57,5551,399.43
bfs,false,1319.587,724330,98.26,5551,551.75
dfs,false,632.200,403638,54.76,13099,1759218604860.42
wallFollower,false,1030.708,832538,112.94,60455,449.15
