Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,723.29,2794135,95.11,23789,1065.41
astar,true,806.25,2730039,92.93,23789,1005.67
bfs,true,480.15,2794156,95.11,23789,978.01
dfs,true,137.89,1171844,39.89,23789,495.55
wallFollower,true,529.10,3156442,107.44,23789,1022.74
dijkstra,false,1211.99,3068025,95.37,4079,983.70
astar,false,984.70,1779582,55.32,4148,852.21
bfs,false,409.26,3068060,95.37,4079,1004.10
dfs,false,152.20,1183319,36.78,186559,582.96
wallFollower,false,226.33,1335570,41.52,30268,424.85
