Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,494.12,889628,94.25,11375,323.91
astar,true,577.97,924019,97.89,11375,340.41
bfs,true,351.85,889620,94.25,11375,386.19
dfs,true,219.10,626111,66.33,11375,298.46
wallFollower,true,394.01,802028,84.97,11375,233.59
dijkstra,false,557.64,981985,95.01,2319,436.62
astar,false,529.29,629195,60.87,2367,357.49
bfs,false,271.76,981944,95.00,2319,349.82
dfs,false,119.02,379925,36.75,67595,227.18
wallFollower,false,28.17,43894,4.25,17586,121.09
