Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,1516.01,2510767,99.19,35510,N/A,1155.76
astar,true,2386.93,2510544,99.18,35510,N/A,1144.55
bfs,true,973.57,2510766,99.19,35510,N/A,1134.66
dfs,true,492.18,1195773,47.24,35510,N/A,837.28
wallFollower,true,1255.61,2761548,109.10,35510,N/A,1208.93
dijkstra,false,2795.73,2770588,99.97,5370,0,662.93
astar,false,2757.75,2770529,99.96,5370,0,648.55
bfs,false,800.05,2770589,99.97,5370,0,1052.35
dfs,false,121.68,244925,8.84,120462,115092,273.40
wallFollower,false,775.83,1694780,61.15,28203,22833,681.10
