Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,3432.68,5574479,99.34,63031,N/A,2733.08
astar,true,5432.20,5574410,99.34,63031,N/A,2208.39
bfs,true,2061.92,5574477,99.34,63031,N/A,2744.83
dfs,true,923.91,2630983,46.89,63031,N/A,1863.76
wallFollower,true,2583.15,5202374,92.71,63031,N/A,2522.33
dijkstra,false,7057.17,6142429,99.97,7946,0,1872.05
astar,false,5997.69,6142407,99.97,7946,0,1798.04
bfs,false,1500.05,6142431,99.97,7946,0,2281.28
dfs,false,256.34,366744,5.97,179191,171245,548.18
wallFollower,false,525.53,1313364,21.38,42320,34374,714.62
