Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,10.80,22582,90.01,2185,N/A,12.30
astar,true,16.60,21753,86.71,2185,N/A,8.36
bfs,true,9.14,22584,90.02,2185,N/A,11.00
dfs,true,5.81,13549,54.01,2185,N/A,7.70
wallFollower,true,10.99,21947,87.48,2185,N/A,9.68
dijkstra,false,13.04,27391,99.87,543,0,7.67
astar,false,19.84,27088,98.76,544,1,7.25
bfs,false,8.43,27391,99.87,543,0,11.15
dfs,false,2.83,5107,18.63,2947,2404,3.57
wallFollower,false,4.20,6128,22.35,2397,1854,6.54
