Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,69.80,140974,93.21,6357,N/A,85.51
astar,true,112.50,140608,92.96,6357,N/A,65.37
bfs,true,63.50,140977,93.21,6357,N/A,70.76
dfs,true,31.00,90858,60.07,6357,N/A,55.61
wallFollower,true,68.70,123841,81.88,6357,N/A,85.07
dijkstra,false,93.43,165442,99.95,1343,0,71.35
astar,false,130.04,165404,99.93,1343,0,59.89
bfs,false,49.59,165442,99.95,1343,0,68.84
dfs,false,12.23,17421,10.52,9746,8403,17.69
wallFollower,false,47.63,106755,64.48,5886,4543,43.84
