Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,2318.67,4091411,99.07,49035,N/A,2002.27
astar,true,4064.47,4091274,99.06,49035,N/A,990.59
bfs,true,1373.33,4091412,99.07,49035,N/A,2003.68
dfs,true,729.73,1894108,45.86,49035,N/A,1165.09
wallFollower,true,1679.69,3652092,88.43,49035,N/A,2042.54
dijkstra,false,4913.15,4520890,99.97,6842,0,1213.36
astar,false,4667.69,4520852,99.97,6843,1,1037.42
bfs,false,1224.28,4520890,99.97,6842,0,1535.35
dfs,false,204.13,415255,9.18,200528,193686,502.48
wallFollower,false,388.06,976342,21.59,35401,28559,528.04
