Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,0.78,1046,83.71,372,N/A,0.47
astar,true,1.04,675,54.01,372,N/A,0.51
bfs,true,0.96,1046,83.71,372,N/A,0.46
dfs,true,0.57,686,54.91,372,N/A,0.40
wallFollower,true,1.04,1008,80.67,372,N/A,0.38
dijkstra,false,0.82,1297,95.68,131,0,0.46
astar,false,0.65,249,18.40,157,26,0.41
bfs,false,0.78,1296,95.63,131,0,0.42
dfs,false,0.49,465,34.36,246,115,0.18
wallFollower,false,0.90,1095,80.77,318,187,0.48
