Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,5.94,13896,91.80,1760,N/A,5.95
astar,true,10.55,13324,88.02,1760,N/A,3.74
bfs,true,6.57,13896,91.80,1760,N/A,5.27
dfs,true,4.27,6726,44.43,1760,N/A,3.95
wallFollower,true,9.20,16625,109.83,1760,N/A,5.91
dijkstra,false,8.31,16497,99.67,435,0,7.05
astar,false,12.26,14232,85.98,444,9,5.15
bfs,false,5.48,16498,99.67,435,0,5.65
dfs,false,2.21,2569,15.52,1568,1133,2.17
wallFollower,false,7.45,13752,83.05,1878,1443,5.22
