Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,84.86,171935,95.52,7789,N/A,85.84
astar,true,133.16,171722,95.40,7789,N/A,58.54
bfs,true,72.82,171936,95.52,7789,N/A,68.83
dfs,true,31.28,86950,48.31,7789,N/A,36.63
wallFollower,true,83.62,168889,93.83,7789,N/A,73.27
dijkstra,false,121.03,196875,99.95,1443,0,85.56
astar,false,155.31,196818,99.92,1443,0,67.82
bfs,false,59.97,196875,99.95,1443,0,83.08
dfs,false,15.75,22210,11.27,12261,10818,23.17
wallFollower,false,58.02,126739,64.33,6874,5431,47.82
