Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,558.47,953515,97.30,22277,N/A,405.57
astar,true,901.84,953250,97.27,22277,N/A,407.13
bfs,true,390.96,953519,97.30,22277,N/A,547.45
dfs,true,150.02,381670,38.95,22277,N/A,314.54
wallFollower,true,537.94,1152243,117.58,22277,N/A,392.85
dijkstra,false,762.62,1072578,99.97,3345,0,242.96
astar,false,958.78,1072553,99.96,3346,1,184.23
bfs,false,257.38,1072578,99.97,3345,0,358.78
dfs,false,51.80,76974,7.17,40698,37353,101.91
wallFollower,false,41.73,45746,4.26,18226,14881,91.78
