Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,1477.70,2549048,98.59,39400,N/A,1110.39
astar,true,2384.92,2548941,98.58,39400,N/A,1214.51
bfs,true,1090.85,2549048,98.59,39400,N/A,1145.48
dfs,true,392.61,1277037,49.39,39400,N/A,819.43
wallFollower,true,1207.23,2550948,98.66,39400,N/A,1089.08
dijkstra,false,2750.53,2830078,99.97,5417,0,1058.73
astar,false,2698.43,2830026,99.97,5418,1,918.88
bfs,false,813.55,2830079,99.97,5417,0,994.85
dfs,false,127.31,258128,9.12,129188,123771,250.13
wallFollower,false,474.68,1175324,41.51,26427,21010,515.02
