Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,2457.43,3800321,98.77,49937,N/A,1719.60
astar,true,3968.08,3800216,98.77,49937,N/A,1426.25
bfs,true,1473.50,3800319,98.77,49937,N/A,2375.59
dfs,true,718.06,2039826,53.02,49937,N/A,1307.35
wallFollower,true,2122.60,4567510,118.71,49937,N/A,2038.27
dijkstra,false,4359.82,4211681,99.97,6577,0,1426.02
astar,false,4186.02,4211644,99.97,6577,0,1397.00
bfs,false,1180.39,4211679,99.97,6577,0,1750.32
dfs,false,234.40,635186,15.08,119875,113298,515.51
wallFollower,false,84.52,83582,1.98,34514,27937,371.18
