Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,3.60,6824,88.78,1113,N/A,2.43
astar,true,5.49,6185,80.47,1113,N/A,3.33
bfs,true,3.42,6825,88.78,1113,N/A,2.38
dfs,true,2.53,3721,48.40,1113,N/A,1.61
wallFollower,true,4.70,7728,100.53,1113,N/A,2.26
dijkstra,false,3.68,8335,99.27,299,0,2.39
astar,false,1.57,820,9.77,336,37,1.83
bfs,false,2.71,8336,99.28,299,0,2.83
dfs,false,1.53,2796,33.31,1295,996,1.28
wallFollower,false,2.90,4692,55.81,1033,734,2.34
