Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,2749.79,4589516,98.67,52199,N/A,2015.57
astar,true,4474.09,4589360,98.67,52199,N/A,1692.75
bfs,true,1752.20,4589518,98.67,52199,N/A,2467.86
dfs,true,687.81,1993865,42.87,52199,N/A,1315.65
wallFollower,true,2132.14,4503420,96.82,52199,N/A,2279.46
dijkstra,false,5898.28,5091678,99.97,7244,0,1418.80
astar,false,5328.24,5091644,99.97,7246,2,1408.17
bfs,false,1344.58,5091678,99.97,7244,0,1984.39
dfs,false,231.65,494558,9.71,245529,238285,556.16
wallFollower,false,1155.48,3088108,60.63,38048,30804,1134.48
