Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,2903.54,4389475,99.26,52667,N/A,1905.84
astar,true,4503.40,4389392,99.26,52667,N/A,2445.13
bfs,true,1761.07,4389475,99.26,52667,N/A,2303.73
dfs,true,867.37,2758002,62.37,52667,N/A,1765.85
wallFollower,true,2452.89,5037349,113.91,52667,N/A,2270.07
dijkstra,false,5071.43,4840849,99.97,7076,0,1494.77
astar,false,4689.43,4840779,99.97,7076,0,1298.91
bfs,false,1216.67,4840849,99.97,7076,0,1419.12
dfs,false,150.94,305401,6.31,158405,151329,318.48
wallFollower,false,73.75,90287,1.86,35818,28742,278.49
