Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,101.28,198770,94.09,7831,N/A,127.13
astar,true,158.98,198380,93.91,7831,N/A,68.05
bfs,true,77.10,198771,94.09,7831,N/A,116.30
dfs,true,53.86,119537,56.59,7831,N/A,88.69
wallFollower,true,101.06,205578,97.32,7831,N/A,86.19
dijkstra,false,131.89,231113,99.95,1554,0,103.68
astar,false,184.85,231037,99.92,1556,2,69.07
bfs,false,67.95,231113,99.95,1554,0,80.20
dfs,false,16.70,26264,11.36,13940,12386,23.68
wallFollower,false,55.06,104734,45.31,7597,6043,49.48
