Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,3179.76,5323878,99.33,59630,N/A,2698.59
astar,true,5209.23,5323808,99.33,59630,N/A,2375.37
bfs,true,1964.61,5323881,99.33,59630,N/A,2704.78
dfs,true,843.91,2703723,50.45,59630,N/A,1738.43
wallFollower,true,2427.35,4973588,92.80,59630,N/A,2623.45
dijkstra,false,6787.76,5866984,99.97,7758,0,1444.59
astar,false,5710.03,5866951,99.97,7760,2,1643.50
bfs,false,1482.70,5866984,99.97,7758,0,1985.15
dfs,false,270.31,432640,7.37,213992,206234,555.18
wallFollower,false,627.35,1252171,21.34,39413,31655,696.21
