Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,3387.28,5487935,99.34,60091,N/A,2329.38
astar,true,5407.14,5487860,99.34,60091,N/A,2272.25
bfs,true,2051.38,5487933,99.34,60091,N/A,3091.87
dfs,true,921.57,2686998,48.64,60091,N/A,1724.52
wallFollower,true,2610.19,5341630,96.69,60091,N/A,2491.16
dijkstra,false,7100.72,6047892,99.97,7883,0,2236.44
astar,false,5954.34,6047857,99.97,7883,0,1981.15
bfs,false,1598.39,6047893,99.97,7883,0,2015.10
dfs,false,330.15,990450,16.37,190198,182315,553.18
wallFollower,false,1167.01,2485367,41.08,42214,34331,1036.04
