Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,427.13,767692,98.26,18076,N/A,371.02
astar,true,656.18,767590,98.25,18076,N/A,335.72
bfs,true,301.66,767690,98.26,18076,N/A,397.54
dfs,true,130.42,400489,51.26,18076,N/A,262.76
wallFollower,true,358.02,723542,92.61,18076,N/A,371.62
dijkstra,false,627.06,855013,99.97,3000,0,419.84
astar,false,751.97,854937,99.96,3001,1,314.63
bfs,false,240.70,855012,99.96,3000,0,338.88
dfs,false,82.33,170357,19.92,50380,47380,152.26
wallFollower,false,226.72,531055,62.09,15521,12521,210.22
