Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,3721.47,6437350,99.34,68584,N/A,2529.08
astar,true,6103.54,6437272,99.34,68584,N/A,2253.28
bfs,true,2351.60,6437349,99.34,68584,N/A,3045.97
dfs,true,978.41,3307505,51.04,68584,N/A,2260.39
wallFollower,true,2334.10,5079990,78.39,68584,N/A,2908.73
dijkstra,false,8780.45,7093406,99.97,8535,0,1741.78
astar,false,7346.81,7093387,99.97,8535,0,1917.84
bfs,false,1818.83,7093407,99.97,8535,0,2356.32
dfs,false,214.29,423365,5.97,221611,213076,449.00
wallFollower,false,627.94,1501754,21.17,42426,33891,758.65
