Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,2466.13,3938918,90.52,26501,1345.01
astar,true,2728.10,3919303,90.07,26501,1610.01
bfs,true,1478.97,3938934,90.52,26501,2294.33
dfs,true,667.89,1787384,41.08,26501,1106.47
wallFollower,true,2099.28,4503650,103.50,26501,1902.99
dijkstra,false,3714.69,4556542,95.63,4975,1987.78
astar,false,3200.37,2362353,49.58,5028,1897.06
bfs,false,1526.89,4556516,95.63,4975,1456.84
dfs,false,520.70,1556096,32.66,263080,1072.91
wallFollower,false,831.24,1966391,41.27,37045,904.56
