Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1857.17,3151268,91.54,23625,1284.97
astar,true,2148.55,3326524,96.63,23625,1179.19
bfs,true,1165.53,3151282,91.54,23625,2004.57
dfs,true,658.59,2127746,61.80,23625,1338.35
wallFollower,true,1315.21,2706192,78.61,23625,1841.20
dijkstra,false,2654.37,3592566,95.30,4404,1281.60
astar,false,2187.80,1868932,49.58,4455,1202.71
bfs,false,1123.55,3592476,95.30,4404,1473.20
dfs,false,472.91,1765885,46.84,205604,997.61
wallFollower,false,57.33,81729,2.17,32415,347.60
