Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,296.64,531081,96.34,14643,N/A,231.30
astar,true,478.29,530904,96.31,14643,N/A,227.55
bfs,true,219.96,531077,96.34,14643,N/A,316.71
dfs,true,123.43,295671,53.64,14643,N/A,206.10
wallFollower,true,307.86,670920,121.71,14643,N/A,238.10
dijkstra,false,361.22,603293,99.96,2505,0,305.24
astar,false,486.31,603270,99.96,2505,0,172.73
bfs,false,161.99,603293,99.96,2505,0,203.23
dfs,false,44.11,119920,19.87,37178,34673,89.42
wallFollower,false,21.67,34289,5.68,13200,10695,85.52
