Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,2406.54,3889184,99.21,53155,N/A,1598.93
astar,true,3899.97,3889119,99.21,53155,N/A,1794.24
bfs,true,1536.00,3889183,99.21,53155,N/A,1856.65
dfs,true,706.20,2049059,52.27,53155,N/A,1395.66
wallFollower,true,1956.14,3862590,98.54,53155,N/A,1677.75
dijkstra,false,4708.71,4291051,99.97,6652,0,1316.28
astar,false,4549.58,4291004,99.97,6653,1,1184.05
bfs,false,1139.79,4291050,99.97,6652,0,1651.91
dfs,false,105.87,258107,6.01,133298,126646,415.47
wallFollower,false,841.96,1774689,41.35,37428,30776,685.05
