Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,4167.99,6617842,89.29,37171,3845.45
astar,true,4764.31,7066834,95.35,37171,3263.64
bfs,true,2457.49,6617859,89.29,37171,3246.26
dfs,true,1139.77,3589827,48.44,37171,2398.60
wallFollower,true,3322.47,7099915,95.80,37171,3447.37
dijkstra,false,7502.35,7727079,95.21,6439,2129.51
astar,false,6819.26,4477061,55.17,6514,2176.12
bfs,false,2176.81,7727125,95.21,6439,2583.92
dfs,false,1025.72,2343820,28.88,487241,1664.84
wallFollower,false,1781.47,3322553,40.94,48302,1939.54
