Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,3858.16,6073331,99.16,62989,N/A,2418.92
astar,true,5875.32,6073238,99.15,62989,N/A,2658.24
bfs,true,2197.74,6073330,99.16,62989,N/A,3217.50
dfs,true,1074.14,3123067,50.99,62989,N/A,1852.50
wallFollower,true,2911.44,5880988,96.02,62989,N/A,3077.13
dijkstra,false,8836.81,6704970,99.97,8301,0,1621.72
astar,false,7147.15,6704934,99.97,8301,0,1742.87
bfs,false,2005.85,6704969,99.97,8301,0,2662.27
dfs,false,690.47,1305444,19.46,289671,281370,1006.88
wallFollower,false,1950.63,4069733,60.68,46471,38170,1308.87
