Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,541.12,992257,97.87,20259,N/A,482.95
astar,true,914.16,992163,97.86,20259,N/A,270.83
bfs,true,340.56,992259,97.87,20259,N/A,524.26
dfs,true,185.53,421430,41.57,20259,N/A,297.32
wallFollower,true,462.89,997252,98.36,20259,N/A,508.62
dijkstra,false,901.45,1109775,99.96,3411,0,298.95
astar,false,1065.20,1109741,99.96,3412,1,247.54
bfs,false,285.65,1109776,99.96,3411,0,460.27
dfs,false,50.45,74460,6.71,39434,36023,101.90
wallFollower,false,245.61,468202,42.18,15992,12581,236.07
