Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,186.40,360044,94.27,11628,N/A,185.60
astar,true,287.93,359697,94.18,11628,N/A,179.74
bfs,true,147.67,360048,94.27,11628,N/A,177.46
dfs,true,67.55,170008,44.51,11628,N/A,107.47
wallFollower,true,182.64,394773,103.36,11628,N/A,186.15
dijkstra,false,251.56,417918,99.96,2092,0,170.87
astar,false,319.43,417837,99.94,2092,0,164.42
bfs,false,109.39,417916,99.96,2092,0,136.42
dfs,false,17.26,41151,9.84,21923,19831,30.24
wallFollower,false,55.59,104522,25.01,10573,8481,71.32
