Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,4516.90,6933915,98.62,65835,N/A,3364.79
astar,true,7181.18,6933784,98.61,65835,N/A,2832.52
bfs,true,2717.51,6933916,98.62,65835,N/A,3707.18
dfs,true,1030.30,3212431,45.69,65835,N/A,1980.70
wallFollower,true,3493.28,7574481,107.73,65835,N/A,3234.27
dijkstra,false,9668.16,7697329,99.97,8902,0,1868.17
astar,false,7897.46,7697300,99.97,8903,1,2123.59
bfs,false,1986.78,7697329,99.97,8902,0,2628.11
dfs,false,264.41,545869,7.09,258404,249502,544.99
wallFollower,false,758.02,1638136,21.27,48454,39552,931.88
