Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,2555.66,4460220,99.12,55041,N/A,1886.45
astar,true,4277.01,4460098,99.11,55041,N/A,1882.84
bfs,true,1673.84,4460219,99.12,55041,N/A,2020.20
dfs,true,790.63,2297787,51.06,55041,N/A,1411.01
wallFollower,true,1678.63,3266497,72.59,55041,N/A,2072.35
dijkstra,false,5929.46,4925979,99.97,7122,0,1545.24
astar,false,5320.37,4925948,99.97,7122,0,1733.52
bfs,false,1439.54,4925977,99.97,7122,0,1916.20
dfs,false,147.72,283748,5.76,148875,141753,427.56
wallFollower,false,1997.55,4935894,100.17,37216,30094,1522.87
