Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,13.85,29438,94.20,2581,N/A,16.94
astar,true,24.42,29170,93.35,2581,N/A,10.10
bfs,true,13.27,29438,94.20,2581,N/A,15.74
dfs,true,6.48,14395,46.06,2581,N/A,9.15
wallFollower,true,20.19,39694,127.02,2581,N/A,12.46
dijkstra,false,16.82,34147,99.87,613,0,15.52
astar,false,25.05,33988,99.40,613,0,12.54
bfs,false,10.37,34146,99.87,613,0,12.65
dfs,false,4.08,5755,16.83,3455,2842,5.39
wallFollower,false,9.80,18255,53.44,2761,2148,9.41
