Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,326.19,564935,97.95,14614,N/A,297.58
astar,true,519.17,564825,97.93,14614,N/A,238.19
bfs,true,241.21,564935,97.95,14614,N/A,353.75
dfs,true,148.65,402671,69.82,14614,N/A,258.81
wallFollower,true,288.04,577427,100.12,14614,N/A,321.54
dijkstra,false,438.92,631176,99.96,2576,0,274.47
astar,false,547.42,631062,99.94,2576,0,188.30
bfs,false,178.32,631176,99.96,2576,0,232.37
dfs,false,45.50,119394,18.91,29191,26615,72.10
wallFollower,false,130.90,271971,43.08,12490,9914,120.84
