Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,2858.80,4971549,98.70,57041,N/A,2430.51
astar,true,4851.06,4971440,98.70,57041,N/A,1626.04
bfs,true,1880.30,4971550,98.70,57041,N/A,2399.18
dfs,true,864.45,2655132,52.71,57041,N/A,1621.98
wallFollower,true,1960.80,4044240,80.29,57041,N/A,2596.84
dijkstra,false,6270.41,5514268,99.97,7518,0,1932.66
astar,false,5498.60,5514203,99.97,7518,0,1717.67
bfs,false,1507.96,5514268,99.97,7518,0,2306.73
dfs,false,487.35,959851,17.40,203763,196245,754.46
wallFollower,false,548.31,1178202,21.36,39613,32095,546.08
