Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,1661.09,2899928,98.71,41545,N/A,1347.24
astar,true,2689.95,2899834,98.70,41545,N/A,1306.70
bfs,true,1114.63,2899930,98.71,41545,N/A,1235.34
dfs,true,405.96,1381025,47.01,41545,N/A,860.35
wallFollower,true,1306.48,2687390,91.47,41545,N/A,1530.37
dijkstra,false,3152.06,3215862,99.97,5786,0,947.53
astar,false,3050.22,3215809,99.97,5786,0,914.84
bfs,false,861.15,3215862,99.97,5786,0,1120.50
dfs,false,171.36,250457,7.79,125382,119596,359.34
wallFollower,false,528.12,1334573,41.49,29247,23461,606.88
