Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,183.63,330004,97.21,11016,N/A,192.03
astar,true,279.51,329835,97.16,11016,N/A,108.12
bfs,true,118.66,330006,97.21,11016,N/A,193.38
dfs,true,74.04,191446,56.39,11016,N/A,115.74
wallFollower,true,183.50,372015,109.58,11016,N/A,186.20
dijkstra,false,230.27,371479,99.95,1975,0,184.12
astar,false,291.25,371362,99.92,1975,0,184.96
bfs,false,104.38,371475,99.95,1975,0,142.44
dfs,false,32.84,43161,11.61,23732,21757,41.29
wallFollower,false,75.71,165729,44.58,10032,8057,77.81
