Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,1853.73,3147420,98.81,44768,N/A,1216.95
astar,true,2956.22,3147273,98.81,44768,N/A,1309.09
bfs,true,1178.06,3147423,98.81,44768,N/A,1818.65
dfs,true,507.08,1364317,42.83,44768,N/A,957.53
wallFollower,true,1421.29,2955969,92.80,44768,N/A,1386.53
dijkstra,false,3615.58,3486535,99.97,6011,0,1168.31
astar,false,3561.11,3486495,99.97,6011,0,942.64
bfs,false,918.65,3486535,99.97,6011,0,1396.75
dfs,false,160.30,301727,8.65,144923,138912,295.01
wallFollower,false,609.75,1440368,41.30,30267,24256,541.53
