Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,4112.83,6714483,99.49,69767,N/A,2589.53
astar,true,6483.66,6714395,99.49,69767,N/A,2587.92
bfs,true,2624.68,6714482,99.49,69767,N/A,3750.25
dfs,true,1120.84,3153225,46.72,69767,N/A,1844.26
wallFollower,true,2522.56,5091930,75.45,69767,N/A,3484.34
dijkstra,false,9242.33,7388506,99.97,8709,0,2320.03
astar,false,7778.28,7388462,99.97,8709,0,2014.20
bfs,false,1884.80,7388505,99.97,8709,0,2624.19
dfs,false,503.46,1284171,17.38,293686,284977,782.87
wallFollower,false,655.93,1570857,21.26,45391,36682,743.78
