Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,136.56,263048,93.53,9088,N/A,163.60
astar,true,220.74,262791,93.44,9088,N/A,74.56
bfs,true,104.94,263049,93.53,9088,N/A,140.04
dfs,true,62.22,140135,49.83,9088,N/A,93.45
wallFollower,true,145.30,294724,104.79,9088,N/A,150.64
dijkstra,false,186.66,307676,99.96,1807,0,121.04
astar,false,246.13,307636,99.95,1807,0,92.89
bfs,false,92.64,307676,99.96,1807,0,122.33
dfs,false,31.55,60604,19.69,16872,15065,55.11
wallFollower,false,42.59,82586,26.84,9529,7722,55.69
