Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,758.44,1274242,96.63,24322,N/A,557.20
astar,true,1185.97,1274102,96.62,24322,N/A,532.02
bfs,true,484.23,1274242,96.63,24322,N/A,789.70
dfs,true,259.11,671518,50.92,24322,N/A,477.26
wallFollower,true,700.93,1442536,109.39,24322,N/A,626.54
dijkstra,false,1176.61,1443321,99.97,3874,0,356.10
astar,false,1299.09,1443275,99.96,3875,1,302.12
bfs,false,382.34,1443321,99.97,3874,0,459.61
dfs,false,59.06,108677,7.53,57523,53649,98.15
wallFollower,false,184.91,330458,22.89,20685,16811,251.00
