Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,1623.74,2636174,93.55,22713,1292.05
astar,true,1849.74,2740170,97.24,22713,1063.79
bfs,true,906.31,2636180,93.55,22713,1373.24
dfs,true,442.78,1228424,43.59,22713,825.79
wallFollower,true,1419.20,3106883,110.25,22713,1597.68
dijkstra,false,2073.98,2930087,94.96,3994,1292.79
astar,false,1944.91,1705324,55.27,4071,1000.39
bfs,false,879.48,2930064,94.96,3994,1112.21
dfs,false,228.14,591858,19.18,167817,431.95
wallFollower,false,531.13,1279586,41.47,28782,576.75
