Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,1051.44,1792628,99.31,31379,N/A,978.18
astar,true,1685.39,1792553,99.31,31379,N/A,788.09
bfs,true,705.37,1792627,99.31,31379,N/A,1042.74
dfs,true,351.33,963087,53.36,31379,N/A,600.63
wallFollower,true,963.02,2030905,112.52,31379,N/A,914.60
dijkstra,false,1674.09,1975742,99.97,4547,0,778.46
astar,false,1826.17,1975716,99.96,4547,0,537.65
bfs,false,563.67,1975743,99.97,4547,0,628.27
dfs,false,152.65,378087,19.13,99743,95196,292.30
wallFollower,false,193.86,439637,22.24,22050,17503,246.74
