Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,833.59,1473521,99.15,28545,N/A,681.95
astar,true,1332.10,1473442,99.15,28545,N/A,723.07
bfs,true,620.03,1473522,99.15,28545,N/A,596.26
dfs,true,265.64,807265,54.32,28545,N/A,489.77
wallFollower,true,715.43,1519364,102.24,28545,N/A,738.43
dijkstra,false,1329.51,1626500,99.97,4096,0,434.26
astar,false,1418.35,1626464,99.96,4096,0,414.30
bfs,false,406.11,1626500,99.97,4096,0,547.81
dfs,false,87.13,130911,8.05,65499,61403,142.15
wallFollower,false,163.10,369067,22.68,21760,17664,208.87
