Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,2502.450,1702396,56.72,14901,1402.23
astar,true,4719.828,2936534,97.84,14901,1239.24
bfs,true,2267.091,2958416,98.57,14901,1988.54
dfs,true,1062.552,1435477,47.83,14901,1199.82
wallFollower,true,1804.999,3145068,104.79,14901,1791.80
dijkstra,false,4637.641,2086113,67.89,21638,1713.54
astar,false,8568.325,3016604,98.18,12056,1676.05
bfs,false,2959.155,3031066,98.65,12056,2671.28
dfs,false,1196.519,1536364,50.00,33544,1523.16
wallFollower,false,2127.547,3170443,103.19,225487,1778.57
