Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,923.950,635693,49.66,9412,529.81
astar,true,1867.494,1241185,96.97,9412,555.25
bfs,true,976.331,1252607,97.86,9412,717.45
dfs,true,427.991,615698,48.10,9412,560.86
wallFollower,true,730.356,1336646,104.43,9412,750.27
dijkstra,false,1405.762,700515,53.46,13832,1110.23
astar,false,3200.210,1283484,97.94,7189,841.70
bfs,false,1250.952,1292456,98.63,7189,1068.08
dfs,false,381.919,525062,40.07,20818,627.78
wallFollower,false,866.820,1282702,97.88,102776,896.62
