Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,3981.30,7076278,99.36,70008,N/A,2727.69
astar,true,8462.08,7076161,99.36,70008,N/A,2344.59
bfs,true,2536.57,7076275,99.36,70008,N/A,3723.39
dfs,true,1205.04,3980779,55.90,70008,N/A,2391.56
wallFollower,true,2260.72,5123084,71.94,70008,N/A,2891.50
dijkstra,false,10533.60,7795866,99.97,8962,0,1883.29
astar,false,11887.13,7795817,99.97,8962,0,1500.97
bfs,false,2387.90,7795866,99.97,8962,0,2400.79
dfs,false,331.19,669616,8.59,325910,316948,806.79
wallFollower,false,1202.06,3189060,40.89,44858,35896,1416.93
