Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,51.80,117384,93.91,5191,N/A,67.65
astar,true,97.96,116946,93.56,5191,N/A,58.17
bfs,true,42.41,117385,93.91,5191,N/A,60.41
dfs,true,29.27,71354,57.08,5191,N/A,45.26
wallFollower,true,56.05,121454,97.16,5191,N/A,60.76
dijkstra,false,67.57,136681,99.95,1217,0,55.67
astar,false,112.43,136647,99.93,1218,1,36.71
bfs,false,36.75,136682,99.95,1217,0,57.37
dfs,false,10.56,16347,11.95,9541,8324,18.25
wallFollower,false,40.32,88577,64.78,6042,4825,34.72
