Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,2744.06,4751135,98.88,57344,N/A,1566.35
astar,true,5456.00,4750979,98.88,57344,N/A,2177.62
bfs,true,1739.80,4751136,98.88,57344,N/A,2276.97
dfs,true,784.83,2568436,53.45,57344,N/A,1556.55
wallFollower,true,2020.44,4532138,94.32,57344,N/A,1937.93
dijkstra,false,6105.07,5259805,99.97,7358,0,1722.58
astar,false,7229.55,5259760,99.97,7358,0,1678.29
bfs,false,1509.47,5259806,99.97,7358,0,2060.42
dfs,false,211.41,401026,7.62,198763,191405,425.66
wallFollower,false,492.17,1134630,21.57,39197,31839,538.58
