Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,3772.97,6511797,99.16,64811,N/A,2543.22
astar,true,7668.75,6511710,99.16,64811,N/A,3225.21
bfs,true,2415.67,6511796,99.16,64811,N/A,3535.25
dfs,true,993.12,3351032,51.03,64811,N/A,2124.24
wallFollower,true,2761.81,6480726,98.69,64811,N/A,2971.28
dijkstra,false,9182.74,7188741,99.97,8621,0,1807.19
astar,false,10298.15,7188685,99.97,8621,0,1950.20
bfs,false,2007.75,7188739,99.97,8621,0,2658.14
dfs,false,204.57,427099,5.94,212373,203752,651.38
wallFollower,false,83.43,107436,1.49,44082,35461,498.04
