Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,MemoryUsed [MB]
dijkstra,true,11626.82,10816137,97.93,29809,4783.35
astar,true,9451.55,10861679,98.34,29809,4446.76
bfs,true,6689.95,10816125,97.93,29809,5042.30
dfs,true,2499.13,5571197,50.44,29809,3263.40
wallFollower,true,3233.64,10977247,99.39,29809,4731.29
dijkstra,false,13571.02,11155189,98.65,25602,3076.18
astar,false,10493.44,11231638,99.33,25602,2987.37
bfs,false,6962.07,11155202,98.65,25602,5772.64
dfs,false,2075.69,4298992,38.02,81513,1947.42
wallFollower,false,4031.14,12518076,110.71,845841,4639.91
