Algorithm,SinglePath,Time [ms],VisitedNodes,VisitedPercentage [%],PathLength,D_PathLength,MemoryUsed [MB]
dijkstra,true,1261.93,2338900,98.97,34637,N/A,1003.45
astar,true,2539.96,2338836,98.97,34637,N/A,1056.12
bfs,true,859.56,2338901,98.97,34637,N/A,1280.81
dfs,true,330.12,990464,41.91,34637,N/A,654.08
wallFollower,true,1130.49,2783578,117.79,34637,N/A,1111.98
dijkstra,false,2379.99,2586670,99.97,5171,0,698.69
astar,false,3076.06,2586596,99.96,5172,1,658.29
bfs,false,719.86,2586670,99.97,5171,0,843.60
dfs,false,131.19,426913,16.50,95514,90343,343.62
wallFollower,false,216.04,569545,22.02,25848,20677,361.91
